BY/112 11.04. ТР013 045.01 01370	28.06.2022	Коммунальное унитарное многоотраслевое производственное предприятие жилищно-коммунального хозяйства "Малоритское ЖКХ"	завершенное строительством сооружениия станция обезжелезивания в д. Ланская Малоритского района	И.А.Бортновская	Область Брестская, Район Малоритский, г. Малорита, ул. Советская, 116, индекс 225903
BY/112 11.05. ТР013 045.01 01369	27.06.2022	Закрытое акционерное общество "Оптималсервис"	проектная документация по объекту № 2.22-11 «Строительство уличных газопроводов и газопроводов-вводов в потребительском кооперативе по газификации «БрестОгнивоГаз»	Л.Д.Павлюкевич	Область Брестская, г. Кобрин, ул. Первомайская, 84
BY/112 11.05. ТР013 045.01 01368	27.06.2022	Открытое акционерное общество "Институт комплексного проектирования объектов строительства" г. Брест	проектная документация по объекту № 33.22 "Строительство сетей газоснабжения к домам № 12 и № 14 в пер. Уютном в г. Кобрине"	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Пушкинская, 16/1, индекс 224005
BY/112 11.05. ТР013 045.01 01367	27.06.2022	Открытое акционерное общество "Институт комплексного проектирования объектов строительства" г. Брест	проектная документация по объекту № 32.22 "Строительство сетей газоснабжения к домам № 74-76 по ул. Кирмановича в г. Кобрине"	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Пушкинская, 16/1, индекс 224005
BY/112 11.05. ТР013 045.01 01366	27.06.2022	Открытое акционерное общество "Институт комплексного проектирования объектов строительства" г. Брест	проектная документация по объекту № 31.22 "Строительство сетей газоснабжения к дому № 31 по ул. Ленина в д. Бельск Кобринского района"	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Пушкинская, 16/1, индекс 224005
BY/112 11.05. ТР013 045.01 01365	27.06.2022	Открытое акционерное общество "Институт комплексного проектирования объектов строительства" г. Брест	проектная документация по объекту № 30.22 "Строительство сетей газоснабжения по ул. Луговой в д. Б. Лепесы Кобринского района"	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Пушкинская, 16/1, индекс 224005
BY/112 11.02. ТР013 045.01 01364	27.06.2022	Иностранное общество с ограниченной ответственностью "ПРОФИЛИ ВОКС"	панели ламельные и комплектующие к ним из пенополистирола для внутренней отделки	П.П.Радкович	225003, Брестская обл., Брестский р-н, Тельминский c/c, 7
BY/112 11.05. ТР013 045.01 01363	24.06.2022	Общество с ограниченной ответственностью "ТТКэлектросистем"	проектная документация по объекту № 09.21 «Реконструкция производственной базы Микашевического участка Лунинецкого района газоснабжения ПУ «Пинскгаз» с выделением очередей строительства по адресу: Брестская область., г. Микашевичи, ул. Садовая, 10»	И.А.Бортновская	225038, Брестская обл., Брестский р-н, Клейниковский c/c, р-н аг. Клейники
BY/112 11.05. ТР013 045.01 01362	24.06.2022	Общество с ограниченной ответственностью "ТТКэлектросистем"	проектная документация по объекту № 26/22 «Модернизация системы электроснабжения фермы № 1 аг. Озяты Жабинковского района Брестской области»	И.А.Бортновская	225038, Брестская обл., Брестский р-н, Клейниковский c/c, р-н аг. Клейники
BY/112 11.01. ТР013 045.01 01361	24.06.2022	Частное производственное унитарное предприятие "СтеклоАрт"	элементы ограждения балконов и лоджий из поливинилхлоридного профиля «КВЕ» класса В (производства ЗАО «профайн РУС», Российская Федерация), с заполнением сэндвич панелями, применяемые в качестве дополнительных элементов к светопрозрачным ленточным и панорамным конструкциям остекления балконов и лоджий, по рабочим чертежам серии 01 ЭО 04-2014	И.А.Бортновская	Область Брестская, г. Брест, ул. Луцкая, 56,  3, индекс 224011
