BY/112 04.14. ТР013 045.01 00261	0317654	28.02.2023	27.02.2028	ОАО "Дорстроймонтажтрест"	Открытое акционерное общество "Дорстроймонтажтрест"	Филиал "Строительно-монтажный поезд № 391 на станции Брест" Открытого акционерного общества "Дорстроймонтажтрест"	Выполнение работ по заполнению оконных и дверных проемов с применением оконных и дверных блоков из поливинилхлоридного профиля, из древесины, металлических
BY/112 04.14. ТР013 045.01 00260	0317655	28.02.2023	27.02.2028	ОАО "Дорстроймонтажтрест"	Открытое акционерное общество "Дорстроймонтажтрест"	Филиал "Строительно-монтажный поезд № 391 на станции Брест" Открытого акционерного общества "Дорстроймонтажтрест"	Выполнение работ по устройству тепловой изоляции ограждающих конструкций сооружений легкие и тяжёлые штукатурные системы утепления, вентилируемые системы утепления, утепление цоколей, крыш и перекрытий
BY/112 04.14. ТР013 045.01 00259	0317656	28.02.2023	27.02.2028	ОАО "Дорстроймонтажтрест"	Открытое акционерное общество "Дорстроймонтажтрест"	Филиал "Строительно-монтажный поезд № 391 на станции Брест" Открытого акционерного общества "Дорстроймонтажтрест"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из цементных растворов, горячих асфальтовых смесей и литая гидроизоляция, гидроизоляция из полимерных листовых материалов, тепло- и звукоизоляция из плит и сыпучих материалов
BY/112 04.14. ТР013 045.01 00258	0317657	28.02.2023	27.02.2028	ОАО "Дорстроймонтажтрест"	Открытое акционерное общество "Дорстроймонтажтрест"	Филиал "Строительно-монтажный поезд № 391 на станции Брест" Открытого акционерного общества "Дорстроймонтажтрест"	Выполнение работ по устройству антикоррозионных покрытий строительных конструкций сооружений лакокрасочные защитные покрытия, мастичные, шпатлевочные и наливные покрытия, оклеечные покрытия 
BY/112 04.14. ТР013 045.01 00257	0317658	28.02.2023	27.02.2028	ОАО "Дорстроймонтажтрест"	Открытое акционерное общество "Дорстроймонтажтрест"	Филиал "Строительно-монтажный поезд № 391 на станции Брест" Открытого акционерного общества "Дорстроймонтажтрест"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит 
BY/112 04.14. ТР013 045.01 00256	0317659	28.02.2023	27.02.2028	ОАО "Дорстроймонтажтрест"	Открытое акционерное общество "Дорстроймонтажтрест"	Филиал "Строительно-монтажный поезд № 391 на станции Брест" Открытого акционерного общества "Дорстроймонтажтрест"	Выполнение работ по монтажу наружных сетей и сооружений водоснабжение и канализация 
BY/112 04.14. ТР013 045.01 00255	0317617	21.12.2022	20.12.2027	ООО "Форвард"	Общество с ограниченной ответственностью "Форвард"	Общество с ограниченной ответственностью "Форвард"	Выполнение работ по устройству изоляционных покрытий  гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из цементных растворов, горячих асфальтовых смесей и литая гидроизоляция, гидроизоляция из металлических листов, гидроизоляция из полимерных листовых материалов, тепло- и звукоизоляция из плит и сыпучих материалов
BY/112 04.14. ТР013 045.01 00254	0317616	21.12.2022	20.12.2027	ООО "Форвард"	Общество с ограниченной ответственностью "Форвард"	Общество с ограниченной ответственностью "Форвард"	Выполнение работ по устройству тепловой изоляции ограждающих конструкций сооружений  легкие и тяжёлые штукатурные системы утепления, вентилируемые системы утепления, системы утепления на основе комплексных теплоизоляционных материалов, монолитных утеплителей, утепление цоколей, крыш и перекрытий
BY/112 04.14. ТР013 045.01 00253	0317610	30.11.2022	29.11.2027	Государственное предприятие "Брестводоканал"	Коммунальное производственное унитарное предприятие "Брестводоканал"	Коммунальное производственное унитарное предприятие "Брестводоканал"	Выполнение работ по заполнению оконных и дверных проемов с применением оконных и дверных блоков из поливинилхлоридного профиля
BY/112 04.14. ТР013 045.01 00252	0317609	30.11.2022	29.11.2027	КУПП "Кобринрайводоканал"	Коммунальное унитарное производственное предприятие "Кобринрайводоканал"	Коммунальное унитарное производственное предприятие "Кобринрайводоканал"	Выполнение работ по монтажу наружных сетей и сооружений водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00251	0317608	28.11.2022	27.11.2027	Волковысское ОАО "СМТ № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Выполнение работ по монтажу наружных сетей и сооружений водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00250	0317607	28.11.2022	27.11.2027	Волковысское ОАО "СМТ № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Выполнение работ по устройству антикоррозионных покрытий строительных конструкций сооружений лакокрасочные защитные покрытия, мастичные, шпатлевочные и наливные покрытия, оклеечные покрытия, облицовочные и футеровочные покрытия
BY/112 04.14. ТР013 045.01 00249	0317606	28.11.2022	27.11.2027	Волковысское ОАО "СМТ № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из цементных растворов, горячих асфальтовых смесей и литая гидроизоляция, гидроизоляция из металлических листов, гидроизоляция из полимерных листовых материалов, тепло- и звукоизоляция из плит и сыпучих материалов
BY/112 04.14. ТР013 045.01 00248	0317605	28.11.2022	27.11.2027	Волковысское ОАО "СМТ № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Выполнение работ по устройству оснований, фундаментов сооружений на основании из естественных грунтов
BY/112 04.14. ТР013 045.01 00247	0317604	28.11.2022	27.11.2027	Волковысское ОАО "СМТ № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Волковысское открытое акционерное общество "Строительно-монтажный трест № 32"	Выполнение работ по устройству тепловой изоляции ограждающих конструкций сооружений легкие и тяжелые штукатурные системы утепления
